filename,source_pdf,pdf_page,printed_page_or_placement,caption,applicable_ancestors,applicable_places,scope_judgment,description,crop_note,width_px,height_px
part1_norman_origins/images/dg_part1_p039_gaillefontaine_church_and_chapel.png,Daniel Gurney Complete in PDF first half.pdf,39,Printed p.29,Church at Gaillefontaine and chapel of the Leproserie,Renaud (working G36); Gautier de La Ferte branch; early Gournay territorial network,Gaillefontaine; Pays de Bray,Direct-family branch / ancestral-region context,"Gaillefontaine appears in Daniel's description of the lands held by the La Ferte branch, a younger branch from the early Gournay house. The crop preserves ecclesiastical structures in that associated territory. It is useful as ancestral-region context, especially because La Ferte and Gaillefontaine were part of the early division of family power in the Pays de Bray.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1604,940
part1_norman_origins/images/dg_part1_p039_earthworks_castle_gaillefontaine.png,Daniel Gurney Complete in PDF first half.pdf,39,Printed p.29,Earthworks of the Castle of Gaillefontaine,Renaud (working G36); Gautier de La Ferte branch; early Gournay territorial network,Gaillefontaine; Pays de Bray,Direct-family branch / ancestral-region fortification,"The Gaillefontaine earthworks illustrate another fortified place in the early Gournay territorial network. Although held in a collateral younger branch, the site helps show the pattern of family fortifications and smaller fiefs around Gournay and La Ferte during the 10th and 11th centuries.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1110,758
part1_norman_origins/images/dg_part1_p063_abbey_of_bec.png,Daniel Gurney Complete in PDF first half.pdf,63,Full plate between printed pp.52-54,The Abbey of Bec,Hugh de Gournay III (working G33); Basilia Flaitel; Gerard de Gournay (G32),"Abbey of Bec, Normandy",Direct-line monastic and burial context,"The adjacent narrative says Hugh de Gournay III became a monk at Bec, Basilia retired there, and the pair were major benefactors. Daniel recounts St. Anselm's correspondence with Hugh and Basilia and states that Hugh and Basilia were buried at Bec. This image is high-priority for the direct line because it ties direct ancestors to monastic retirement, benefaction, correspondence, and burial.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,3790,2952
part1_norman_origins/images/dg_part1_p085_warren_pedigree_context.png,Daniel Gurney Complete in PDF first half.pdf,85,"Appendix XIII, approx. printed p.73",House of Warren pedigree / arms context,"Editha de Warenne, wife of Gerard de Gournay (G32 spouse); Walter de Gournay (G31, son)",Warenne/Varenne; Normandy; England,Direct spouse-line / maternal-line context,"Gerard de Gournay married Editha/Ediva, daughter of William de Warenne and Gundred. Daniel uses the Warren appendix to explain this major alliance and the kinship context from which Walter de Gournay, the direct younger branch ancestor, descended. The plate is not a scene, but it is useful lineage context for the maternal side of Walter de Gournay.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1604,1954
part1_norman_origins/images/dg_part1_p269_gournay_from_ernemont.png,Daniel Gurney Complete in PDF first half.pdf,269,Printed p.255,Gournay from Ernemont,Early direct Gournay line generally; Eudes through Gerard de Gournay (working G37-G32),Gournay-en-Bray; Ernemont; Epte valley; Pays de Bray,Direct ancestral-town landscape,"In Appendix XLIV Daniel reports his 1845 visit to Gournay and describes the surrounding country as fertile, wooded, hilly, and picturesque, with the Epte valley, pasture, orchards, cider/perry country, and striking views from heights. He specifically calls the view of Gournay from the chateau of Ernemont beautiful. This image is therefore strong environmental evidence for the ancestral landscape.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,2024,1340
part1_norman_origins/images/dg_part1_p274_chapel_leproserie_gournay.png,Daniel Gurney Complete in PDF first half.pdf,274,Printed p.260,Chapel of the Leproserie at Gournay,Early Lords of Gournay; Gournay charitable/religious institutions,Gournay-en-Bray; Leproserie chapel,Direct ancestral-town religious/charitable context,"Daniel states earlier that the ancient lords of Gournay instituted a leper house and a Hotel Dieu or hospital in the town. This crop shows the chapel of the leproserie. It is not tied to one named direct ancestor, but it belongs to the family-created or family-associated institutional landscape of Gournay.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1287,847
part1_norman_origins/images/dg_part1_p274_wooden_porch_dampierre.png,Daniel Gurney Complete in PDF first half.pdf,274,Printed p.260,Wooden porch at Dampierre,Early Lords of Gournay territorial context,Dampierre; Pays de Bray,Direct ancestral-region architectural context,Dampierre appears among the places illustrated in Daniel's Appendix XLIV tour of Gournay and the Pays de Bray. The wooden porch provides vernacular architectural context for the district around the ancestral town. It is useful for future image prompts involving the broader local environment rather than a named family event.,Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1303,1067
part1_norman_origins/images/dg_part1_p275_church_brefmontier.png,Daniel Gurney Complete in PDF first half.pdf,275,Printed p.261,Church at Bref-Moutier / Brefmontier,Hugh de Gournay III (working G33); early Lords of Gournay,Bref-Moutier / Brefmontier; Pays de Bray,Direct ancestral-region religious context,Daniel's earlier narrative says the chapter of St. Hildevert was traditionally first fixed in the neighboring village of Bref-Moutier and later removed to Gournay. He also describes Bref-Moutier as an ancient monastic site in the territory of Gournay. This image should be retained because it links the St. Hildevert story to a specific nearby place.,Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,988,1360
part1_norman_origins/images/dg_part1_p275_font_brefmontier.png,Daniel Gurney Complete in PDF first half.pdf,275,Printed p.261,Font at Bref-Moutier / Brefmontier,Early Lords of Gournay; St. Hildevert/Bref-Moutier context,Bref-Moutier / Brefmontier; Pays de Bray,Direct ancestral-region church detail,"This font detail belongs with the church at Bref-Moutier, the place Daniel associates with the early chapter before its transfer to Gournay. The font is useful for future reconstruction because it gives a concrete liturgical artifact from the local ecclesiastical landscape.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1057,1098
part1_norman_origins/images/dg_part1_p276_west_end_boshyon.png,Daniel Gurney Complete in PDF first half.pdf,276,Printed p.262,West end of church and cross at Boshyon,Early Gournay territorial context,Boshyon / Boshion; Pays de Bray,Direct ancestral-region place context,Boshyon is one of the Pays de Bray sites illustrated in Daniel's tour appendix. The image gives church architecture and a cross in a village landscape within the family's original regional setting. It is most valuable as environmental/architectural context rather than as proof of a single ancestor's act.,Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1439,1980
part1_norman_origins/images/dg_part1_p277_east_end_boshyon.png,Daniel Gurney Complete in PDF first half.pdf,277,Printed p.263,East end of church at Boshyon,Early Gournay territorial context,Boshyon / Boshion; Pays de Bray,Direct ancestral-region place context,"This companion view of Boshyon records another side of the same local church. Together with the west-end and tower-arch views, it gives a fuller architectural setting for one of the Pays de Bray places Daniel thought worth illustrating after his 1845 visit.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1539,1252
part1_norman_origins/images/dg_part1_p278_boshyon_tower_arches.png,Daniel Gurney Complete in PDF first half.pdf,278,Printed p.264,"Side view from tower arches, Boshyon",Early Gournay territorial context,Boshyon / Boshion; Pays de Bray,Direct ancestral-region church detail,This view from the tower arches at Boshyon provides interior/structural architectural detail from the same Pays de Bray church sequence. It can support future reconstruction of the local church environment around Gournay-en-Bray.,Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1561,1723
part1_norman_origins/images/dg_part1_p279_st_peter_dampierre.png,Daniel Gurney Complete in PDF first half.pdf,279,Printed p.265,Church of St. Peter in Vinculis at Dampierre,Early Gournay territorial context,Dampierre; Pays de Bray,Direct ancestral-region church/place,"This church image belongs to the Appendix XLIV visual tour of Gournay and the Pays de Bray. It is a place-context image for the ancestral region. The title identifies the church as St. Peter in Vinculis at Dampierre, supplementing the nearby wooden porch and arch details.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1013,1200
part1_norman_origins/images/dg_part1_p279_dampierre_tower_arches.png,Daniel Gurney Complete in PDF first half.pdf,279,Printed p.265,"Arches under the tower, Dampierre",Early Gournay territorial context,Dampierre; Pays de Bray,Direct ancestral-region architectural detail,The tower-arch detail complements the exterior Dampierre church plate. It gives architectural evidence from a Pays de Bray site included in Daniel's 1845 tour appendix and is useful for future prompts involving local Norman/medieval church interiors.,Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1085,1122
part1_norman_origins/images/dg_part1_p283_mont_sauveur_argueil.png,Daniel Gurney Complete in PDF first half.pdf,283,Printed p.269,Mont Sauveur at Argueil,William de Gournay I / early younger branch context; Norman Gournay territorial division,Argueil; Mont Sauveur; Pays de Bray,Direct ancestral-region / younger-branch fief context,"Earlier Part II text says Argueil and Mont Sauveur were connected with the portion of the great fief of Bray severed for the younger branch, and that fragments of armour and utensils had been found on the castle site. Although this image appears in the Part I appendix, Argueil is relevant to the Norman fief context that proves the younger Norfolk branch's blood descent from the Barons of Gournay.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1708,1055
part1_norman_origins/images/dg_part1_p283_church_sigi.png,Daniel Gurney Complete in PDF first half.pdf,283,Printed p.269,Church at Sigi,Renaud (working G36); Hugh de La Ferte branch; early Gournay family context,Sigi / Sigy; Pays de Bray,Direct-family branch / ancestral-region religious context,"Sigi is tied to Hugh de La Ferte's foundation of a priory before 1035 and to the early La Ferte branch. Daniel reproduces charters for Sigi in Appendix II. The church image is therefore relevant as a place of early family religious patronage, though through a related branch rather than the later Norfolk direct line itself.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1696,1533
part1_norman_origins/images/dg_part1_p284_sigi_view.png,Daniel Gurney Complete in PDF first half.pdf,284,Printed p.270,Sigi,Renaud (working G36); Hugh de La Ferte branch; early Gournay family context,Sigi / Sigy; Pays de Bray,Direct-family branch / ancestral-region context,"This second Sigi image reinforces the setting of the priory founded by the La Ferte branch. The Sigi charters are among the earliest surviving or reported documents for the extended Gournay family, making the place useful for origin-period storytelling even if the specific branch is collateral.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1743,1080
part1_norman_origins/images/dg_part1_p284_castle_neufmarche.png,Daniel Gurney Complete in PDF first half.pdf,284,Printed p.270,Remains of castle at Neufmarche,Early Lords of Gournay; Pays de Bray frontier context,Neufmarche; Pays de Bray; Normandy frontier,Direct ancestral-region fortification context,"Neufmarche appears among the fortified sites around the Gournay frontier landscape. The remains-of-castle image helps reconstruct the military geography of the Pays de Bray and the neighboring Norman/French frontier, a recurring theme in Daniel's explanation of why Gournay mattered.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1824,1120
part1_norman_origins/images/dg_part1_p285_church_neufmarche.png,Daniel Gurney Complete in PDF first half.pdf,285,Printed p.271,Church at Neufmarche,Early Lords of Gournay; Pays de Bray frontier context,Neufmarche; Pays de Bray,Direct ancestral-region church/place,The church at Neufmarche complements the castle-remains image and gives an ecclesiastical counterpart to the frontier setting. It belongs to Daniel's Appendix XLIV place tour and is useful for reconstructing the religious and village landscape surrounding Gournay.,Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1864,1497
part1_norman_origins/images/dg_part1_p286_castle_gisors.png,Daniel Gurney Complete in PDF first half.pdf,286,Printed p.272,Castle of Gisors from the Prisoner's Tower,Early Lords of Gournay; Norman-French frontier context,Gisors; Normandy frontier,Regional frontier context,"Gisors was a major Norman-French frontier fortress, and Daniel includes it in the same Pays de Bray/Gournay regional appendix. It is somewhat broader than the direct Gournay holdings, but it helps explain the military frontier world in which the Lords of Gournay operated.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,1218,896
part1_norman_origins/images/dg_part1_p286_interior_church_neufmarche.png,Daniel Gurney Complete in PDF first half.pdf,286,Printed p.272,"Interior of church, Neufmarche",Early Lords of Gournay; Pays de Bray frontier context,Neufmarche; Pays de Bray,Direct ancestral-region church detail,"This interior view belongs with the Neufmarche church exterior and the castle-remains plate. It is useful as interior architectural evidence from the same regional setting, especially for later image-generation work requiring medieval church ambience.",Rendered at 300 dpi equivalent; grayscale PNG; light autocontrast.,919,1016
,Daniel Gurney Complete in PDF first half.pdf,83,Printed p.71,Talbot and related arms,Richard Talbot / Talbot descendants of a Gournay marriage; not direct line,Beaubec; Wales/Talbot context,Catalog-only - collateral branch,The plate accompanies a discussion of Talbot branches after a Gournay/Talbot marriage. It is collateral to the direct line and was cataloged but not cropped.,Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,95,Printed p.83,Remains of Byland Abbey,"Gundred de Gournay, wife of Neil d'Albini; Mowbray/Byland context",Byland Abbey; Yorkshire,Catalog-only - collateral Gournay daughter line,Gundred is a related/collateral member of the family rather than the direct Norfolk line ancestor. The abbey is historically interesting but not cropped under the tightened selection policy.,Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,135,Printed p.123,Head of Robert le Bourguignon,Le Bourguignon family; indirect connection to Swathings and early Norfolk branch,Swathings; St. Sauveur; Pays de Bray,Catalog-only - feudal tenant / Swathings context,"The Bourguignon family is relevant to the Swathings transfer background but not itself direct-line Gournay ancestry. Cataloged for context, not cropped.",Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,141,Folded/landscape pedigree before Hugh V section,Pedigree of the Lords of Coucy,Coucy family; spouse family of Hugh IV elder related line,Coucy,Catalog-only - related elder-line spouse family,The Coucy pedigree supports the elder branch after the direct line diverges through Walter de Gournay. It is useful related context but was not cropped.,Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,143,Printed p.129,Hugh de Gournay V from his seal,Hugh de Gournay V; elder Norman baronial line after direct split,Acre; Gournay-en-Bray,Catalog-only - related elder line,"The seal is valuable but belongs to the elder line descending from Gerard's son Hugh IV, while the user's direct line continues through Walter. Cataloged but not cropped.",Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,191,Printed p.177,Dammartin / Count of Boulogne visual material,Julia de Dammartin and Dammartin family; spouse line of Hugh V,Dammartin; Boulogne,Catalog-only - related elder-line spouse family,Relevant to Hugh V's marriage but not direct to the Norfolk Gurney line. Cataloged but not cropped.,Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,193,Printed p.179,Dampmartin pedigree,Dammartin family,Dammartin; Boulogne,Catalog-only - related elder-line spouse family,Pedigree context for Hugh V's spouse family. Cataloged but not cropped under direct-line-focused rules.,Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,194,Printed p.180-182,Saint Thomas of Cantelupe and Hereford shrine,Cantelupe family; related kin network,Hereford Cathedral,Catalog-only - related spouse/kin context,"Ecclesiastical and kin-network context for later related families, but not the direct line. Cataloged only.",Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,202,Printed pp.188-191,"Langley Abbey, Castle of Wormegay, Bardolf monument",Julia de Gournay and Bardolf descendants; not direct Norfolk Gurney line,Langley Abbey; Wormegay; Shelford,Catalog-only - post-elder-line inheritance context,"These images relate to the descent of the elder barony after Hugh VI and Julia. They are related to the broader house but not the direct line through Walter, so they were cataloged only.",Catalog-only; no crop under tightened direct-line selection policy.,,
,Daniel Gurney Complete in PDF first half.pdf,287,Printed p.273 or adjacent,Unidentified final Appendix XLIV plate,Uncertain; likely Pays de Bray place context,Uncertain,Catalog-only - uncertain identification,The image is in Appendix XLIV but the caption was not reliably captured. It should be revisited if a cleaner scan or manual page review is available.,Catalog-only; no crop under tightened direct-line selection policy.,,
