sourceId,shortTitle,corpusStatus,corpusPath,mediaPath,validationPath
ancestry-pcc-wills-1384-1858,"Ancestry - PCC Wills, 1384-1858 (collection 5111)",none,,,sources/validations/ancestry-pcc-wills-1384-1858.md
anderson-gmd-2015,"Anderson, Great Migration Directory",partial,sources/corpus/The Great Migration Directory 2025 Page 158.txt,,sources/validations/anderson-gmd-2015.md
anderson-great-migration-begins-v1-baxter,"Anderson, Great Migration Begins vol. 1 - Gregory Baxter",partial,sources/corpus_supplement/anderson-great-migration-begins-v1-baxter-user-extract.md,,sources/validations/anderson-great-migration-begins-v1-baxter.md
anderson-new-englands-generation-1991,"Anderson, New England's Generation",none,,,
anderson-yvery-1742,"Anderson, Genealogical History of the House of Yvery",full,sources/corpus/agenealogical-history-gournay-extract.md,,
anderson-yvery-1742-vol-i,"Anderson, Genealogical History of the House of Yvery, Vol. I",partial,sources/corpus/anderson-yvery-1742-vol-i-extract.md,sources/media/anderson-yvery-1742-vol-i/,sources/validations/anderson-yvery-1742-vol-i.md
anselm-opera-schmitt,"Anselm, Opera Omnia (Schmitt)",partial,sources/corpus_supplement/anselm-opera-schmitt-gournay-basilia-locators.md,,sources/validations/anselm-opera-schmitt.md
arber-stationers-bsoc-petition-1646-hunscott,"Hunscott - Humble Petition and Information, 1646 (Wing H3728)",partial,,,sources/validations/arber-stationers-bsoc-petition-1646-hunscott.md
arber-stationers-registers-1554-1640-deferred,Arber - Transcript of the Registers of the Stationers' Company 1554-1640 (deferred),deferred,,,sources/validations/arber-stationers-registers-1554-1640-deferred.md
archiuk-attleborough-nr17-domesday-search,ARCHI UK - NR17 local-history search,partial,sources/corpus_supplement/archiuk-attleborough-nr17-domesday-search.md,,sources/validations/archiuk-attleborough-nr17-domesday-search.md
armstrong-norfolk-1781,"Armstrong, History and Antiquities of the County of Norfolk (1781)",partial,sources/corpus_supplement/armstrong-norfolk-1781-selected-gurney-references.md,,sources/validations/armstrong-norfolk-1781.md
aspinwall-notarial-records,Aspinwall Notarial Records 1644-1651 (32nd Record Commissioners Report),none,,,sources/validations/aspinwall-notarial-records.md
ballou-history-of-milford-1882,"Ballou, History of Milford (1882)",partial,sources/corpus_supplement/ballou-history-of-milford-1882-gurney-extracts.md,,sources/validations/ballou-history-of-milford-1882.md
banks-brownell-1937,"Banks/Brownell, Topographical Dictionary (1937)",none,,,sources/validations/banks-brownell-1937.md
banks-planters-of-the-commonwealth-1930,"Banks, Planters of the Commonwealth (1930)",none,,,sources/validations/banks-planters-of-the-commonwealth-1930.md
bardsley-english-welsh-surnames-1901,"Bardsley, Dictionary of English & Welsh Surnames",none,,,
bartlett-bartletts-of-weymouth-1892,"Bartlett, The Bartletts of Weymouth (1892)",partial,sources/corpus_supplement/bartlett-bartletts-of-weymouth-1892-gurney-extract.md,,
bates-ancient-iron-works-braintree-1898,"Bates, Ancient Iron Works at Braintree",none,,,sources/validations/bates-ancient-iron-works-braintree-1898.md
bauduin-franchises-normandie-orientale-2001,"Bauduin, Trois cas de peuplement en franchises",none,,,
beaurepaire-dict-topo-seine-maritime-1982,"Beaurepaire & Laporte, Dictionnaire topographique de la Seine-Maritime",supplement,sources/corpus_supplement/dicotopo-seine-maritime-bois-gautier-montigny-massy.md,,
benjamin-gurney-harden-research-tables-2026-04,Benjamin Gurney / Harden research tables (2026-04),captured,sources/corpus_supplement/benjamin-gurney-harden-research-tables-2026-04.md,,sources/validations/benjamin-gurney-harden-research-tables-2026-04.md
bho-1640-principal-inhabitants-london-deferred,"Harvey - List of the Principal Inhabitants of the City of London, 1640 (deferred)",deferred,,,sources/validations/bho-1640-principal-inhabitants-london-deferred.md
bho-beaven-aldermen-richard-gourney-1589-1597,"BHO - Beaven aldermen, Richard Gourney",partial,sources/corpus_supplement/bho-beaven-aldermen-richard-gourney-1589-1597.md,,sources/validations/bho-beaven-aldermen-richard-gourney-1589-1597.md
bho-hmc-kings-lynn-chamberlains-accounts,BHO HMC - King's Lynn Chamberlains' Accounts,full,sources/corpus_supplement/bho-hmc-kings-lynn-chamberlains-accounts-pp213-231.md,,sources/validations/bho-hmc-kings-lynn-chamberlains-accounts.md
bho-hmc-kings-lynn-misc-writings,BHO HMC - King's Lynn Miscellaneous Writings,partial,sources/corpus_supplement/bho-hmc-kings-lynn-francis-gurney-1622.md,,sources/validations/bho-hmc-kings-lynn-misc-writings.md
bho-ipm-edward-ii-vol5-gournay-somerset,"IPM Edward II vol. 5, no. 538 - Somerset Gournay fees (Anselm, Thomas)",none,,,sources/validations/bho-ipm-edward-ii-vol5-gournay-somerset.md
bho-ipm-edward-iii-file31-gournay-harpetree,BHO IPM Edward III File 31 - Thomas Gournay of Harpetree,partial,sources/corpus_supplement/bho-ipm-edward-iii-file31-gournay-harpetree.md,,sources/validations/bho-ipm-edward-iii-file31-gournay-harpetree.md
bho-ipm-edward-iii-file35-gournay-inglescombe,BHO IPM Edward III File 35 - Thomas Gournay of Inglescombe,partial,sources/corpus_supplement/bho-ipm-edward-iii-file35-gournay-inglescombe.md,,sources/validations/bho-ipm-edward-iii-file35-gournay-inglescombe.md
bho-ipm-edward-iii-vol12-sancto-omero-mulbarton-1366,"BHO Calendar of IPM, Edward III, vol. 12 — Thomas de Sancto Omero (1366)",none,,,
bho-ipm-edward-iii-vol7-bardolf-swathings,"BHO IPM Edward III vol. 7, no. 243 - Thomas Bardolf (Swathings/barony of Gurnay)",partial,sources/corpus_supplement/bho-ipm-edward-iii-vol7-243-bardolf-swathings.md,,sources/validations/bho-ipm-edward-iii-vol7-bardolf-swathings.md
bho-ipm-henry-iii-vol1-robert-gurnay,"BHO IPM Henry III vol. 1, no. 710 - Robert de Gurnay (d. 1269)",none,,,
bho-ipm-henry-iv-vol18-matthew-gournay,BHO IPM Henry IV vol. 18 - Sir Matthew de Gournay footprint,none,,,sources/validations/bho-ipm-henry-iv-vol18-matthew-gournay.md
bho-ipm-henry-iv-vol19-gournay-johnv,"BHO IPM vol. 19 (Henry IV) - John Gournay (Sir John V), d.1408",none,,,sources/validations/bho-ipm-henry-iv-vol19-gournay-johnv.md
bho-ipm-henry-vii-townshend-gurnay-feoffee,"BHO Calendar of IPM, Henry VII (series 2) - William Gurnay feoffee appearances",partial,sources/corpus_supplement/bho-ipm-henry-vii-townshend-gurnay-feoffee.md,,sources/validations/bho-ipm-henry-vii-townshend-gurnay-feoffee.md
bho-ipm-richard-ii-vol16-gournay-catecote,BHO IPM Richard II vol. 16 - Joan (Catecote) heiress; Roger Gournay,none,,,sources/validations/bho-ipm-richard-ii-vol16-gournay-catecote.md
bho-ipm-vol16-index-gournay,BHO IPM vol. 16 Index - Gournay/Gurney,partial,sources/corpus_supplement/bho-ipm-vol16-index-gournay.md,,sources/validations/bho-ipm-vol16-index-gournay.md
bho-journals-commons-lords,BHO Journals of the House of Commons & Lords (Civil-War Gurney items),none,,,
bho-livery-haberdashers-gournay-charity,BHO - Haberdashers' Company Gournay's Charity,partial,sources/corpus_supplement/bho-haberdashers-gournays-charity.md,,sources/validations/bho-livery-haberdashers-gournay-charity.md
bho-london-hearth-tax-merry-2010,London Hearth Tax project database (Merry 2010),partial,sources/corpus_supplement/london-hearth-tax-1662-1666-gurney-cluster.md,sources/media/london-hearth-tax-merry-2010/London_Hearth_Tax_database.mdb,
bho-london-inhabitants-st-augustine-1638,"BHO - Inhabitants of London 1638, St Augustine",full,sources/corpus_supplement/bho-london-inhabitants-st-augustine-1638.md,,sources/validations/bho-london-inhabitants-st-augustine-1638.md
bho-london-inhabitants-st-dunstan-west-1638,"BHO - Inhabitants of London 1638, St Dunstan in the West",partial,sources/corpus_supplement/bho-london-inhabitants-st-dunstan-west-1638.md,,sources/validations/bho-london-inhabitants-st-dunstan-west-1638.md
bho-port-trade-early-elizabethan-london-richard-gurney-1567-8,"BHO - London Port Book 1567-8, Richard Gurney",partial,sources/corpus_supplement/bho-port-trade-early-elizabethan-london-richard-gurney-1567-8.md,,sources/validations/bho-port-trade-early-elizabethan-london-richard-gurney-1567-8.md
bho-statutes-realm-1661-assessment,BHO Statutes - 1661 Assessment Act,partial,sources/corpus_supplement/bho-statutes-1661-francis-gurney.md,,sources/validations/bho-statutes-realm-1661-assessment.md
bhrs-v7-fowler-1926,Beds. Hist. Rec. Soc. vol. 7 (Fowler on de Gournai),full,sources/corpus_supplement/bhrs-v7-fowler-gournay-note.md,,
billerica-town-records-ms,Billerica town records (MS),extract,sources/corpus_supplement/billerica-town-records-gurney-1659-1660.md,,sources/validations/billerica-town-records-ms.md
blomefield-norfolk,"Blomefield, History of Norfolk",none,,,
blomefield-norfolk-vol5-pp33-cringleford-berford,"Blomefield, Norfolk vol. 5 (BHO) — Cringleford, Berford's Manor",partial,sources/corpus_supplement/blomefield-norfolk-vol5-pp33-cringleford-berford.md,,sources/validations/blomefield-norfolk-vol5-pp33-cringleford-berford.md
bodge-soldiers-king-philips-war-1891,"Bodge, Soldiers in King Philip's War (1891)",partial,sources/corpus_supplement/bodge-soldiers-king-philips-war-1891-gurney-extracts.md,sources/media/bodge-soldiers-king-philips-war-1891/,sources/validations/bodge-soldiers-king-philips-war-1891.md
bodleian-ms-tanner-175-marco,Bodleian MS Tanner 175 - MARCO,none,,,sources/validations/bodleian-ms-tanner-175-marco.md
boston-record-commissioners-fourth-report-1880,"Boston Record Commissioners, Fourth Report - Dorchester Town Records (1880)",none,,,sources/validations/boston-record-commissioners-fourth-report-1880.md
boston-record-commissioners-ninth-report-1883,Boston Vital Records 1630-1699 (Ninth Record Commissioners' Report),none,,,sources/validations/boston-record-commissioners-ninth-report-1883.md
boston-town-records-1634-1660,Boston Town Records 1634-1660 (Book of Possessions),none,,,sources/validations/boston-town-records-1634-1660.md
brackett-genealogy-1907,"Brackett, Brackett Genealogy (1907)",extract,sources/corpus_supplement/brackett-genealogy-1907-origin-extract.md,,sources/validations/brackett-genealogy-1907.md
braintree-records-1640-1793-1886,"Braintree town records, 1640-1793",none,,,sources/validations/braintree-records-1640-1793-1886.md
british-archivist-bernau-1913,"Bernau, British Archivist - Francis Gournay",full,sources/corpus_supplement/The_British_Archivist-Unrecorded-Biographies-Francis-Gurney.md,sources/media/The_British_Archivist.pdf,sources/validations/british-archivist-bernau-1913.md
brooke-catalogue-succession-1619,"Brooke, Catalogue and Succession (1619)",partial,sources/corpus_supplement/brooke-catalogue-succession-1619-selected-gurney-pages.md,sources/media/brooke-catalogue-succession-1619/,sources/validations/brooke-catalogue-succession-1619.md
brs-v21,BRS v21 (1642 Bucks tax),none,,,
burke-ancient-family,"Burke, The Ancient Family of Gurney",none,,,
burke-landed-gentry-gurney,Burke's Landed Gentry - Gurney of Maldon pedigree (tertiary),extract,sources/corpus_supplement/burke-landed-gentry-gurney-of-maldon.md,,
bury-st-james-registers,"Bury St Edmunds, St James registers",extract,sources/corpus_supplement/bury-st-edmunds-gurney-registers-1561-1800.md,,sources/validations/bury-st-james-registers.md
cal-cecil-papers-hatfield,"Calendar of Cecil Papers, Hatfield House",partial,sources/corpus_supplement/cecil-papers-vol18-edmund-gurnay-1606-cambridge.md,,sources/validations/cal-cecil-papers-hatfield.md
calder-new-haven-colony-1934,"Calder, New Haven Colony",none,,,
calendar-close-rolls-edward-iii-vols12-14,"Calendar of the Close Rolls, Edward III, vols. 12-14",full,sources/corpus_supplement/calendar-close-rolls-edward-iii-edmund-gourneye-commissions.md,,sources/validations/calendar-close-rolls-edward-iii-vols12-14.md
cambridge-core-camden-preface-addenda,Camden Old Series - Preface and Addenda,partial,sources/corpus_supplement/cambridge-core-camden-preface-addenda-gournay-bardolf.md,,sources/validations/cambridge-core-camden-preface-addenda.md
candidate-d-london-context-web-bundle,Candidate D London context web bundle,none,,,sources/validations/candidate-d-london-context-web-bundle.md
candidate-d-london-grine-grene-index-leads-bundle,Candidate D London Grine/Grene index-lead bundle,none,,,sources/validations/candidate-d-london-grine-grene-index-leads-bundle.md
cape-cod-canal-history,Cape Cod Canal history (Mass.gov; Wikipedia),none,,,
cced-clergy-database,Clergy of the Church of England Database (CCEd),none,,,
cfr-henry-iv-1405-13,"Calendar of Fine Rolls, Henry IV, 1405-13",none,,,
chronicon-beccensis,Chronicon Beccensis Abbatiæ,none,,,
cleveland-battle-abbey-roll-introduction,"Cleveland, Battle Abbey Roll introduction",partial,sources/corpus_supplement/cleveland-battle-abbey-roll-introduction-gurnay.md,,sources/validations/cleveland-battle-abbey-roll-introduction.md
cleveland-battle-abbey-roll-v1-crossrefs,"Cleveland, Battle Abbey Roll vol. 1 crossrefs",partial,sources/corpus_supplement/cleveland-battle-abbey-roll-v1-gurnay-crossrefs.md,,sources/validations/cleveland-battle-abbey-roll-v1-crossrefs.md
cleveland-battle-abbey-roll-v2-gurnay,"Cleveland, Battle Abbey Roll - Gurnay",partial,sources/corpus_supplement/cleveland-battle-abbey-roll-v2-gurnay.md,sources/media/cleveland-battle-abbey-roll-v2-gurnay/The_Battle_Abbey_Roll.pdf,sources/validations/cleveland-battle-abbey-roll-v2-gurnay.md
cleveland-battle-abbey-roll-v3-crossrefs,"Cleveland, Battle Abbey Roll vol. 3 crossrefs",partial,sources/corpus_supplement/cleveland-battle-abbey-roll-v3-gurnay-crossrefs.md,,sources/validations/cleveland-battle-abbey-roll-v3-crossrefs.md
comerford-dam-history,Frank D. Comerford Dam history (Wikipedia; North Star Monthly),none,,,
commissary-court-london-testamentary-index-marc-fitch,commissary-court-london-testamentary-index-marc-fitch,extract,sources/corpus_supplement/commissary-court-london-gurney-testamentary-index-1626-1700.md,sources/media/commissary-court-london-testamentary-index-marc-fitch/,sources/validations/commissary-court-london-testamentary-index-marc-fitch.md
complete-history-england-1706-v1,"A Complete History of England, vol. 1 (1706)",supplement,sources/corpus_supplement/complete-history-england-1706-v1-gurney-extracts.md,,sources/validations/complete-history-england-1706-v1.md
cooke-mapledurham-ors7-1925,"Cooke, Early History of Mapledurham",none,,,
copinger-manors-suffolk-v3,"Copinger, Manors of Suffolk, vol. 3",full,sources/corpus_supplement/copinger-manors-suffolk-v3-mendlesham-extract.md,,
cpr-edward-iv-1461-67,"Calendar of Patent Rolls, Edward IV, 1461-67",extract,sources/corpus_supplement/cpr-edward-iv-1461-1477-gurney-entries.md,,sources/validations/cpr-edward-iv-calendars-1461-1477.md
cpr-edward-iv-henry-vi-1467-77,"Calendar of Patent Rolls, Edward IV-Henry VI, 1467-77",extract,sources/corpus_supplement/cpr-edward-iv-1461-1477-gurney-entries.md,,sources/validations/cpr-edward-iv-calendars-1461-1477.md
cpr-henry-iv-1399-1401,"Calendar of Patent Rolls, Henry IV, 1399-1401",none,,,
cpr-henry-vi-1422-29,"Calendar of Patent Rolls, Henry VI, 1422-29",none,,,
csm-39-boston-first-church,"CSM 39 — Records of the First Church in Boston, vol. I (1961)",none,,,sources/validations/csm-39-boston-first-church.md
cul-archivesearch,Cambridge University Library ArchiveSearch,none,,,sources/validations/cul-archivesearch.md
cummington-vital-records,"Cummington, Massachusetts, town vital records (births)",partial,sources/corpus_supplement/cummington-vital-records-gurney-births.md,sources/media/cummington-vital-records/,sources/validations/cummington-vital-records.md
daniel-history-england-1613-pt1,"Daniel, First Part of the Historie of England (1613)",supplement,sources/corpus_supplement/daniel-history-england-1613-pt1-gurney-extract.md,,sources/validations/daniel-history-england-1613-pt1.md
dashwood-visitation-norfolk-1563-vol1-1878,"Dashwood, Visitation of Norfolk 1563, vol. 1 (1878)",partial,sources/corpus_supplement/dashwood-visitation-norfolk-1563-vol1-1878-kervile-p58.md,sources/media/dashwood-visitation-norfolk-1563-vol1-1878/,sources/validations/dashwood-visitation-norfolk-1563-vol1-1878.md
davis-abel-lunt-1963,"Davis, Ancestry of Abel Lunt",none,,,
decorde-essai-canton-gournay-1861,"Decorde, Essai historique et archeologique sur le Canton de Gournay (1861)",full,sources/corpus_supplement/essai-historique-archeologique-canton-de-gournay-decorde-1861.txt,,sources/validations/decorde-essai-canton-gournay-1861.md
deeds-utoronto-gournay-charter-extracts,DEEDS (Toronto) Gournay charter extracts,supplement,sources/corpus_supplement/deeds-utoronto-gournay-charter-extracts.md,,sources/validations/deeds-utoronto-gournay-charter-extracts.md
delisle-critique-of-dg,Léopold Delisle's critique of Daniel Gurney,minimal,,,
descriptive-catalogue-ancient-deeds,"A Descriptive Catalogue of Ancient Deeds (TNA, HMSO)",partial,sources/corpus_supplement/ancient-deeds-a7857-heydon-gurney-ormesby.md,,sources/validations/descriptive-catalogue-ancient-deeds.md
deville-cartulaire-sainte-trinite-rouen,"Deville, Cartulaire de la Sainte-Trinite du Mont de Rouen (1840)",none,,,sources/validations/deville-cartulaire-sainte-trinite-rouen.md
dg-rec-pt1,"DG Record, Part I",full,sources/corpus/daniel-gurney-part-1.md,,
dg-rec-pt2,"DG Record, Part II",full,sources/corpus/daniel-gurney-part-2.md,,
dg-rec-pt3,"DG Record, Part III",full,sources/corpus/daniel-gurney-part-3.md,,
dg-rec-pt4,"DG Record, Part IV",full,sources/corpus/daniel-gurney-part-4.md,,
dg-rec-supp,"DG Record, Supplement (1858)",full,sources/corpus/daniel-gurney-supplement.md,,
dg-rye-appendix,DG Rye Appendix,partial,sources/corpus_supplement/gascon-rolls-gournay-calendar.md,,
dhi-crusaders-leeds,"DHI -- Database of Crusaders to the Holy Land, 1095-1149",external,,,
dicamillo-gurneys-manor,DiCamillo — Gurney's Manor,partial,sources/corpus_supplement/dicamillo-gurneys-manor.md,,sources/validations/dicamillo-gurneys-manor.md
diceto-opera-historica-vol1-stubbs-1876,"Ralph de Diceto, Opera Historica, ed. Stubbs (Rolls Series 68, 1876)",partial,sources/corpus_supplement/diceto-opera-historica-gournay-1173.md,,
digital-commonwealth,Digital Commonwealth: Massachusetts Collections Online,none,,,sources/validations/digital-commonwealth.md
dnb-bocking,DNB - Bocking (Nicholas Bocking / Fastolf service note),none,,,sources/validations/dnb-bocking.md
dnb-edmund-gurney-1890,DNB - Edmund Gurney (d.1648),full,sources/corpus_supplement/dnb-edmund-gurney-1890.md,,sources/validations/dnb-edmund-gurney-1890.md
domesday-1086,Domesday Book (1086),none,,,
drake-result-of-researches-1860,"Drake, Result of Some Researches (1860)",none,,,sources/validations/drake-result-of-researches-1860.md
dudo-historia,"Dudo of Saint-Quentin, Historia Normannorum",none,,,
dumoulin-histoire-generale-normandie-1631,"Gabriel Dumoulin, Histoire générale de Normandie (1631)",partial,,,
eaa-occasional-paper-2-ellingham-kiln-1997,EAA Occasional Paper 2 - Ellingham Kiln,partial,sources/corpus_supplement/eaa-occasional-paper-2-ellingham-kiln-1997.md,,sources/validations/eaa-occasional-paper-2-ellingham-kiln-1997.md
early-records-town-of-dedham-vol4-1894,"Early Records of Dedham, Massachusetts, vol. 4 (1894)",none,,,sources/validations/early-records-town-of-dedham-vol4-1894.md
early-records-town-of-providence,"Early Records of the Town of Providence (21 vols, 1892-1915)",none,,,sources/validations/early-records-town-of-providence.md
early-yorkshire-charters-vol-8-clay-1949,"Early Yorkshire Charters, vol. 8: The Honour of Warenne (Clay 1949)",external,,,
ecipm-mapping-medieval-countryside,E-CIPM / Mapping the Medieval Countryside (digital Calendar of Inquisitions Post Mortem),partial,sources/corpus_supplement/ecipm-gournay-mentions-index-of-persons.md,,
edmund-divine-pcc-probate-negative,Edmund Gurney (Divine) probate search — negative,extract,sources/corpus_supplement/edmund-gurney-divine-pcc-probate-negative.md,,sources/validations/edmund-divine-pcc-probate-negative.md
elizabeth-stettler-walker-gurney-obituary,Elizabeth Stettler Walker Gurney Obituary (2013),none,,,
english-heritage-baconsthorpe-castle-history,English Heritage - Baconsthorpe Castle history,partial,sources/corpus_supplement/english-heritage-baconsthorpe-castle-history.md,,sources/validations/english-heritage-baconsthorpe-castle-history.md
english-heritage-baconsthorpe-castle-wool-factory,English Heritage - Baconsthorpe Tudor wool factory,partial,sources/corpus_supplement/english-heritage-baconsthorpe-castle-wool-factory.md,,sources/validations/english-heritage-baconsthorpe-castle-wool-factory.md
evans-dammartin-genealogists-magazine-1965,"Evans, 'Dammartin' (Genealogists' Magazine 1965)",none,,,
explore-west-norfolk-harpley-st-lawrence,"Explore West Norfolk - St Lawrence, Harpley",partial,sources/corpus_supplement/explore-west-norfolk-harpley-st-lawrence.md,,sources/validations/explore-west-norfolk-harpley-st-lawrence.md
eyc8-warenne-clay-1949,"Early Yorkshire Charters, vol. 8 (Warenne)",full,sources/corpus_supplement/eyc8-warenne-gournay-extracts.md,,
eyc9-stuteville-clay-1952,"Early Yorkshire Charters, vol. 9 (Stuteville)",full,sources/corpus_supplement/eyc9-stuteville-gournay-extracts.md,,
faden-map-norfolk-1797-hardingham,Faden map of Norfolk - Hardingham extract,none,,sources/media/Hardingham c1790 Faden Map.png,sources/validations/faden-map-norfolk-1797-hardingham.md
fairhaven-lester-obituary,"Lester Hayes Gurney Obituary (FairHaven, 2025)",none,,,
familysearch-fulltext-search,FamilySearch Full-Text Search (AI-transcribed images),none,,,sources/validations/familysearch-fulltext-search.md
farrer-church-heraldry-norfolk,"Farrer, Church Heraldry of Norfolk",none,,,sources/validations/farrer-church-heraldry-norfolk.md
farrer-honors-knights-fees-v3-gurnay-extracts,"Farrer, Honors and Knights' Fees, vol. 3 - Gurnay extracts",full,sources/corpus_supplement/farrer-honors-knights-fees-v3-gurnay-extracts.txt,sources/media/mdp-39015032992151-158-312-314-333-406-407-436-439-1777765448.pdf,sources/validations/farrer-honors-knights-fees-v3-gurnay-extracts.md
fauroux-recueil,"Fauroux, Recueil des actes des ducs de Normandie",none,,,
feltwell-net-mundefords-of-feltwell,feltwell.net -- The Mundefords of Feltwell,none,,,
ferrieres-en-bray-official-history,Ferrieres-en-Bray official history,none,,,
field-genealogy-pierce-1901,"Pierce, Field Genealogy (1901)",none,,,sources/validations/field-genealogy-pierce-1901.md
findagrave-john-gurney-252975617,"Find a Grave memorial 252975617 - John Gurney, Braintree, MA",none,,,sources/validations/findagrave-john-gurney-252975617.md
findmypast-ackworth-gurnoe-baptism-1637-john-thomas,"Findmypast England Births & Baptisms 1538-1975 - John Thomas Gurnoe, Ackworth, 1637",transcript,,,sources/validations/findmypast-ackworth-gurnoe-burton-marriage-1636.md
findmypast-ackworth-gurnoe-burton-marriage-1636,"Findmypast England Marriages 1538-1973 - John Gurnoe + Mary Burton, Ackworth, 1636",transcript,,,sources/validations/findmypast-ackworth-gurnoe-burton-marriage-1636.md
findmypast-boyds-inhabitants-london-candidate-d-gurney-cards,Findmypast Boyd's Inhabitants - Candidate D Gurney cards,partial,sources/corpus_supplement/boyds-inhabitants-london-candidate-d-gurney-cards.md,sources/media/findmypast-boyds-inhabitants-london-candidate-d-gurney-cards,sources/validations/findmypast-boyds-inhabitants-london-candidate-d-gurney-cards.md
findmypast-bucks-baptism-index,Findmypast Buckinghamshire Baptism Index,none,,,sources/validations/findmypast-bucks-baptism-index.md
findmypast-bucks-burial-index,Findmypast Buckinghamshire Burial Index,none,,,sources/validations/findmypast-bucks-burial-index.md
findmypast-bucks-marriage-index,Findmypast Buckinghamshire Marriage Index,none,,,sources/validations/findmypast-bucks-marriage-index.md
findmypast-bury-st-edmunds-st-mary-gurney-burials-1653-1656,Findmypast National Burial Index - Bury St Edmunds St Mary Gurney burials 1653-1656,transcript,,,sources/validations/findmypast-bury-st-edmunds-st-mary-gurney-burials-1653-1656.md
findmypast-england-marriages-gurney-mary-wildcard-sweep-2026-06,"Findmypast England Marriages 1538-1973 - G*rn* + Mary wildcard sweep, June 2026",none,,,sources/validations/findmypast-england-marriages-gurney-mary-wildcard-sweep-2026-06.md
findmypast-hertfordshire-baptisms,Findmypast Hertfordshire Baptisms,none,,,sources/validations/findmypast-hertfordshire-baptisms.md
findmypast-hertfordshire-burials,Findmypast Hertfordshire Burials,none,,,sources/validations/findmypast-hertfordshire-burials.md
findmypast-john-gurney-2026may-supplementary-same-name-sweep,"Findmypast John Gurney same-name sweep, 12 May 2026 raw batch",transcript,,,sources/validations/findmypast-john-gurney-2026may-supplementary-same-name-sweep.md
findmypast-norfolk-banns-marriages-index,FindMyPast Norfolk Banns and Marriages index,extract,sources/corpus_supplement/rivett-garveston-maternal-family-2026-06.md,,sources/validations/findmypast-norfolk-banns-marriages-index.md
findmypast-norfolk-baptisms-index,FindMyPast Norfolk Baptisms index,extract,sources/corpus_supplement/rivett-garveston-maternal-family-2026-06.md,,sources/validations/findmypast-norfolk-baptisms-index.md
findmypast-norfolk-burials-index,Findmypast Norfolk Burials index,transcript,,,sources/validations/findmypast-norfolk-burials-index.md
findmypast-uk-parish-baptisms,Findmypast UK Parish Baptisms,none,,,sources/validations/findmypast-uk-parish-baptisms.md
fischer-albions-seed-1989,"Fischer, Albion's Seed",none,,,
fmg-medlands-normacre,FMG MedLands -- Normandy (Cawley),external,,,
folger-corpus-christi-1619,Corpus Christi (1619) - Internet Archive / Folger,none,,,
folger-demonstration-antichrist-1631,Demonstration of Antichrist (1631) - Internet Archive / Folger,none,,,
folger-romish-chaine-1624,The Romish chaine (1624) - Internet Archive / Folger,none,,,
folger-second-commandment-1639,Toward the Vindication of the Second Commandment (1639/1661) - Internet Archive / Folger,none,,,
foster-alumni-oxonienses-1500-1714,"Foster, Alumni Oxonienses 1500–1714",none,,,sources/validations/foster-alumni-oxonienses-1500-1714.md
foster-streeter-cummington,"Foster & Streeter, Only One Cummington (1974)",none,,,
freebmd-freereg,FreeREG / FreeBMD,none,,,
fs-east-dereham-manor-court-books,"FamilySearch - East Dereham manorial court books, 1623-1852",partial,sources/corpus_supplement/paleo-2026-07-packet-53-east-dereham-courts-1623-1635.md,sources/media/east-dereham-court-books-fts/,sources/validations/fs-east-dereham-manor-court-books.md
